Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Author Keywords,Index Keywords,Funding Details,Document Type,Access Type,Source
"56329642000;36071275100;","Analysis of international tourist arrivals worldwide: The role of world heritage sites",2014,"Tourism Management",95,"10.1016/j.tourman.2013.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879347021&doi=10.1016%2fj.tourman.2013.04.005&partnerID=40&md5=e247de01c234ca25adfaa766762c73b1","Cultural sites; Natural sites; Panel data; Tourism demand; WHSs","cultural heritage; heritage tourism; international tourism; panel data; tourist behavior; World Heritage Site",,Article,,Scopus
"26643808600;7003300500;7402404497;","How the Affordable Care Act and Mental Health Parity and Addiction Equity Act Greatly Expand Coverage of Behavioral Health Care",2014,"Journal of Behavioral Health Services and Research",95,"10.1007/s11414-014-9412-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926683980&doi=10.1007%2fs11414-014-9412-0&partnerID=40&md5=d49a74be770a3dddcaac5e5618c9c065",,"adult; economics; health care delivery; health care policy; health insurance; human; insurance; legislation and jurisprudence; medicaid; Mental Disorders; mental health service; preventive health service; standards; statistics and numerical data; Substance-Related Disorders; supply and distribution; United States; young adult; Adult; Health Insurance Exchanges; Health Services Accessibility; Humans; Insurance Benefits; Insurance Coverage; Medicaid; Mental Disorders; Mental Health Services; Patient Protection and Affordable Care Act; Preexisting Condition Coverage; Preventive Health Services; Substance-Related Disorders; United States; Young Adult",,Article,,Scopus
"56577345100;55712332600;55052611300;7202418448;7005838893;","Effects of elevated CO 2 on fish behaviour undiminished by transgenerational acclimation",2014,"Nature Climate Change",95,"10.1038/nclimate2400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924363570&doi=10.1038%2fnclimate2400&partnerID=40&md5=aa3f93f5a4a53e2deee51f865f2c0678",,"acclimation; acidification; adaptation; avoidance reaction; behavioral response; carbon dioxide; conditioning; heritability; innate behavior; juvenile; olfactory cue; perciform; reef; Acanthochromis polyacanthus; Pisces; Pomacentridae","",Article,,Scopus
"7102792307;","A review of system dynamics models applied in transportation",2014,"Transportmetrica B",95,"10.1080/21680566.2014.916236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921054203&doi=10.1080%2f21680566.2014.916236&partnerID=40&md5=b66fe276462fa2001d224fb6f09b5c24","system dynamics; transport modelling; transportation",,,Review,,Scopus
"57211830849;55761004300;7102158068;7006562065;41361207800;37117445400;7402834245;12771006400;7003805082;6603765674;35857974800;6505783999;","Ebola virus disease in health care workers — Sierra Leone, 2014",2014,"Morbidity and Mortality Weekly Report",95,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920279819&partnerID=40&md5=1209e8c2d7e322e638b0bda7abdefb77",,"adolescent; adult; Ebola virus; female; health care personnel; Hemorrhagic Fever, Ebola; human; isolation and purification; male; middle aged; Occupational Diseases; Sierra Leone; statistics and numerical data; time; young adult; Adolescent; Adult; Ebolavirus; Female; Health Personnel; Hemorrhagic Fever, Ebola; Humans; Male; Middle Aged; Occupational Diseases; Sierra Leone; Time Factors; Young Adult",,Article,,Scopus
"36707949600;51664667500;6506824663;23007765100;","Learning to automatically solve algebra word problems",2014,"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",95,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906930657&partnerID=40&md5=39d36705728a08544ea223afd32a6e90",,"Algebra; Algorithms; Computational linguistics; Sentence boundaries; System of linear equations; Word problem; Problem solving",,Conference Paper,,Scopus
"55444879000;55545861975;6602832776;35235041800;","An unsupervised training method for non-intrusive appliance load monitoring",2014,"Artificial Intelligence",95,"10.1016/j.artint.2014.07.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906485750&doi=10.1016%2fj.artint.2014.07.010&partnerID=40&md5=e0e428ff79cd46e73c7980db35f09070","Bayesian networks; Computational sustainability; Machine learning; Smart grid; Unsupervised learning","Aggregates; Artificial intelligence; Bayesian networks; Learning systems; Smart power grids; Unsupervised learning; Learning systems; Unsupervised learning; Computational sustainability; Electricity-consumption; Empirical evaluations; Non-intrusive appliance load monitoring; Non-intrusive monitoring; Smart grid; Unsupervised learning method; Unsupervised training; Equipment; Bayesian networks",,Article,Open Access,Scopus
"6602252047;7102739935;7006628215;7006003164;56308382900;7003476701;55053612400;7402995913;25724824600;","Climate change impacts and adaptation in South Africa",2014,"Wiley Interdisciplinary Reviews: Climate Change",95,"10.1002/wcc.295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906253269&doi=10.1002%2fwcc.295&partnerID=40&md5=44584367ff736e9cd3a85653c8271d21",,"Biodiversity; Earth (planet); Adaptation scenarios; Climate change impact; Climate change scenarios; Development planning; Earth system science; Integrated assessment; National governments; Socio-economic impacts; Climate change; adaptive management; climate change; environmental planning; environmental policy; socioeconomic impact; South Africa",,Article,Open Access,Scopus
"35726692800;56247092600;36659942600;","Temporal variability in transit-based accessibility to supermarkets",2014,"Applied Geography",95,"10.1016/j.apgeog.2014.06.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903770624&doi=10.1016%2fj.apgeog.2014.06.012&partnerID=40&md5=a9ca9bc9cdd679a962f3a25ad89b4725","Dynamic accessibility; Food deserts; Public transit","accessibility; GIS; spatial analysis; spatial data; temporal variation; travel demand; travel time; Cincinnati; Kentucky; Ohio; United States","662",Article,,Scopus
"25724655000;56028812400;","Campus and College Victim Responses to Sexual Assault and Dating Violence: Disclosure, Service Utilization, and Service Provision",2014,"Trauma, Violence, and Abuse",95,"10.1177/1524838014521322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902983597&doi=10.1177%2f1524838014521322&partnerID=40&md5=d80d88110b3f34dad5e32de9d3f1d557","college students; dating violence; disclosure; help seeking; policies; rape; services; sexual violence",,,Review,,Scopus
"56091377500;56091073000;56091313300;","Public engagement with nonprofit organizations on Facebook",2014,"Public Relations Review",95,"10.1016/j.pubrev.2014.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902282616&doi=10.1016%2fj.pubrev.2014.01.008&partnerID=40&md5=cf11f9bb7d0fd213e57a812d7bcad5ae","Message strategies; Nonprofit organizations; Public engagement; Social media",,,Article,,Scopus
"55212620100;25924575100;7202677655;","Students' online interactive patterns in augmented reality-based inquiry activities",2014,"Computers and Education",95,"10.1016/j.compedu.2014.05.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902256430&doi=10.1016%2fj.compedu.2014.05.006&partnerID=40&md5=d8da6d04beba5d995fa1675433ea3013","Cooperative/collaborative learning; Elementary education; Interactive learning environments; Teaching/learning strategies","Augmented reality; Computer aided instruction; Knowledge acquisition; Knowledge management; Learning systems; Teaching; Cooperative/collaborative learning; Elementary education; Inquiry-based learning; Interactive learning environment; Knowledge construction; Quantitative content analysis; Real world environments; Teaching/learning strategy; Students","101-2511-S-008 -001, NSC102-2511-S-008-007-MY2",Article,,Scopus
"55586239500;55317171600;36944597500;","Evaluating students' evaluations of professors",2014,"Economics of Education Review",95,"10.1016/j.econedurev.2014.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901468096&doi=10.1016%2fj.econedurev.2014.04.002&partnerID=40&md5=847a0a073cb05d1a4e6b9d6527fde2dd","Postsecondary education; Students' evaluations; Teacher quality","performance assessment; secondary education; student; theoretical study",,Article,,Scopus
"6603045072;","Digital Media in the Obama Campaigns of 2008 and 2012: Adaptation to the Personalized Political Communication Environment",2014,"Journal of Information Technology and Politics",95,"10.1080/19331681.2014.895691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901265640&doi=10.1080%2f19331681.2014.895691&partnerID=40&md5=06cfb7e537e2be204182b6455741506d","Data analytics; election of 2008; election of 2012; Obama; online campaigns; social media",,,Article,,Scopus
"55831558200;35784647200;6602336569;","Factors influencing digital technology use in early childhood education",2014,"Computers and Education",95,"10.1016/j.compedu.2014.04.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900436422&doi=10.1016%2fj.compedu.2014.04.013&partnerID=40&md5=918fd51642331bb10dd3b440b10982c8","Path modeling; Teacher cognition; Teacher education/development; Technology",,,Article,,Scopus
"56770617800;7404036753;7004648178;","A meta-analysis of international tourism demand forecasting and implications for practice",2014,"Tourism Management",95,"10.1016/j.tourman.2014.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899856261&doi=10.1016%2fj.tourman.2014.04.005&partnerID=40&md5=0a1ee41107220faa3de41c668f83dc0e","Forecasting accuracy; International tourism demand; Meta-analysis","accuracy assessment; demand analysis; forecasting method; international tourism; meta-analysis; regression analysis; tourist destination","PolyU 5475/12H",Article,,Scopus
"15847037100;24391415400;","The Interplay of Urban Energy Policy and Socio-technical Transitions: The Eco-cities of Graz and Freiburg in Retrospect",2014,"Urban Studies",95,"10.1177/0042098013500360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899449837&doi=10.1177%2f0042098013500360&partnerID=40&md5=b10524b3f719332f9b2a7bfa460ebefa","eco-cities; energy transitions; multilevel governance; socio-technical systems","ecological modeling; empirical analysis; energy policy; governance approach; sustainability; Austria; Freiberg; Germany; Graz; Saxony; Styria",,Article,,Scopus
"23485375600;9238846200;56625371400;","Constacyclic codes and some new quantum MDS codes",2014,"IEEE Transactions on Information Theory",95,"10.1109/TIT.2014.2308180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896939787&doi=10.1109%2fTIT.2014.2308180&partnerID=40&md5=474888b264168f88f91b5842113838e0","constacyclic codes; Cyclotomic cosets; quantum MDS codes","Quantum computers; Constacyclic codes; Cyclotomic cosets; Hermitians; Maximal distance separable; MDS code; Minimum distance; Quantum codes; Coding errors","61370089",Article,,Scopus
"24779179100;9434254900;8547315000;","Examining the moderating effect of inconsistent reviews and its gender differences on consumers' online shopping decision",2014,"International Journal of Information Management",95,"10.1016/j.ijinfomgt.2013.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890907508&doi=10.1016%2fj.ijinfomgt.2013.12.001&partnerID=40&md5=f1900ea89aab0511597f8af843ae44f4","Electronic word-of-mouth; Gender difference; Online consumer review; Social media; Trust","Consumer behavior; Purchasing; Sales; Social networking (online); Electronic word of mouths; Gender differences; Online consumer reviews; Social media; Trust; Electronic commerce","2012M511426

71201149",Article,,Scopus
"57195538787;55586803000;54789287200;35782589600;36474238600;","New evidence on walking distances to transit stops: Identifying redundancies and gaps using variable service areas",2014,"Transportation",95,"10.1007/s11116-013-9508-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890866431&doi=10.1007%2fs11116-013-9508-z&partnerID=40&md5=09f3bf23d2f19ab81d057e83156bd1c8","Accessibility to transit; Gaps in transit service; Redundancy in transit service; Service area; Transit stops; Walking distance","Accessibility to transit; Bus transit service; Definition of service; Metropolitan regions; Service area; Statistical modeling; Transit services; Walking distance; Bus transportation; Mass transportation; Redundancy; metropolitan area; railway transport; service provision; transportation planning; transportation system; urban transport; walking; Canada; Montreal; Quebec [Canada]","",Article,,Scopus
"6603956759;","Anatomy of Protest in the Digital Era: A Network Analysis of Twitter and Occupy Wall Street",2014,"Social Movement Studies",95,"10.1080/14742837.2013.830969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890565831&doi=10.1080%2f14742837.2013.830969&partnerID=40&md5=f4beef11c5fbf568554cbf0cbe52fe61","diffusion; Network analysis; Occupy Wall Street; scale shift; social media; social movements; social networking; Twitter",,,Article,,Scopus
"24068404200;55250231200;","Why culture matters for transport policy: The case of cycling in the UK",2014,"Journal of Transport Geography",95,"10.1016/j.jtrangeo.2013.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888994666&doi=10.1016%2fj.jtrangeo.2013.11.004&partnerID=40&md5=70786ee27879e4da9d837534d93388c0","Culture; Cycling; Identity; Practice theory; UK","conceptual framework; cultural identity; cultural tradition; cycle transport; national identity; policy making; sustainability; transportation policy; United Kingdom",,Article,,Scopus
"36811326000;7404138757;7005786618;7003493242;","Advance transit oriented development typology: Case study in brisbane, australia",2014,"Journal of Transport Geography",95,"10.1016/j.jtrangeo.2013.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888817184&doi=10.1016%2fj.jtrangeo.2013.11.002&partnerID=40&md5=f2d4b73ab7172936c673972a62503ac2","Advanced TOD planning; Brisbane; Mode choice behaviour; Public transport accessibility level (PTAL); TOD typology; Transit Oriented Development (TOD)","accessibility; policy development; public transport; transportation development; transportation mode; transportation planning; transportation policy; Australia; Brisbane; Queensland",,Article,,Scopus
"54408784700;7003663130;9636302500;36863170200;","Children's engagement with educational iPad apps: Insights from a Spanish classroom",2014,"Computers and Education",95,"10.1016/j.compedu.2013.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887095689&doi=10.1016%2fj.compedu.2013.10.003&partnerID=40&md5=2caa01a6b646a50c04f55810fe4faebb","Educational apps; Engagement with software; Exploratory talk; iPad apps; Pre-school","Critical indices; Educational apps; Educational software; Exploratory talks; iPad apps; Pre schools; Qualitative analysis; Qualitative indices; Accidents; Education; Hand held computers; Taxonomies; Application programs","S2009/TIC-1650, TIN2008-05163/TSI",Article,,Scopus
"7003871913;23033270300;6603777705;56072600000;","Safety Nets, Gap Filling and Forests: A Global-Comparative Perspective",2014,"World Development",94,"10.1016/j.worlddev.2014.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911387866&doi=10.1016%2fj.worlddev.2014.03.005&partnerID=40&md5=89c8e1b0bacdca9ee4f37ca70ba7bc6d","Coping strategies; Diversification; Income; Livelihoods; Risk; Shocks","coping strategy; forest resource; forestry; income; risk factor; timber harvesting; village","",Article,Open Access,Scopus
"36727406700;","The public's increasing punitiveness and its influence on mass incarceration in the United States",2014,"American Journal of Political Science",94,"10.1111/ajps.12098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907992917&doi=10.1111%2fajps.12098&partnerID=40&md5=468c5e069ac9c38ee8b9952e21d532e5",,,,Article,,Scopus
"36054026400;16220644800;23027924300;55367492100;6602901692;7006862636;7102464517;34770911400;55821522700;23094323800;56979449200;35221567100;57154730200;7005169187;","Challenges to scenario-guided adaptive action on food security under climate change",2014,"Global Environmental Change",94,"10.1016/j.gloenvcha.2014.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922436430&doi=10.1016%2fj.gloenvcha.2014.03.001&partnerID=40&md5=d27541ac1e358814684a375bc2334e2c","Adaptation pathways; Back-casting; Climate change; Food systems; Scale; Scenarios","adaptation; climate change; decision making; feasibility study; food security; stakeholder; strategic approach; sustainability; East Africa",,Article,Open Access,Scopus
"8443239700;","Digital market manipulation",2014,"George Washington Law Review",94,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961317182&partnerID=40&md5=48369b37290242f2ccbb10bbcc5bb344",,,,Article,,Scopus
"55497355900;","E-Government, Internet Adoption, and Corruption: An Empirical Investigation",2014,"World Development",94,"10.1016/j.worlddev.2013.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893014357&doi=10.1016%2fj.worlddev.2013.12.005&partnerID=40&md5=b16e379162b1251a43a992a9b9560ecd","Corruption; E-government; Internet adoption; Law enforcement","corruption; government; Granger causality test; information and communication technology; Internet; law enforcement; technology adoption",,Article,,Scopus
"8755572600;14060299900;26041068400;","The influence of structural stigma and rejection sensitivity on young sexual minority men's daily tobacco and alcohol use",2014,"Social Science and Medicine",94,"10.1016/j.socscimed.2013.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893503033&doi=10.1016%2fj.socscimed.2013.10.005&partnerID=40&md5=0573027b65ba4efb062fe20a4dd6dc7d","Alcohol use; Gay men; Rejection sensitivity; Stigma; Tobacco use; US","Alcohol use; Gay men; Rejection sensitivity; Stigma; Tobacco use; US; Adolescent; Adult; Alcohol Drinking; Health Surveys; Homosexuality, Male; Humans; Male; Minority Groups; Risk Factors; Smoking; Social Distance; Social Stigma; United States; Young Adult",,Article,,Scopus
"26665294600;","Hotels' environmental policies and employee personal environmental beliefs: Interactions and outcomes",2014,"Tourism Management",94,"10.1016/j.tourman.2013.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883282529&doi=10.1016%2fj.tourman.2013.08.001&partnerID=40&md5=fc5e7eab08bf95b173472875fb70ef81","Corporate environmentalism; Eco-initiatives; Hospitality management; Organisational climate; VBN theory","corporate strategy; ecotourism; environmental education; environmental management; environmental policy; environmentalism; hierarchical system; human resource","NSC 99-2410-H-127 -005 -",Article,,Scopus
"55158789500;35201538200;8753840100;","Fermented foods, microbiota, and mental health: Ancient practice meets nutritional psychiatry",2014,"Journal of Physiological Anthropology",94,"10.1186/1880-6805-33-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893705705&doi=10.1186%2f1880-6805-33-2&partnerID=40&md5=2a1f6cea3d8bd2403a20cae8f7240ab5",,"diet; fermentation; human; mental health; microflora; nutrition; review; Diet; Fermentation; Humans; Mental Health; Microbiota; Nutritional Physiological Phenomena",,Review,Open Access,Scopus
"55880058800;13406295400;7004124731;7004941310;35307001600;","Variations in cognitive maps: Understanding individual differences in navigation",2014,"Journal of Experimental Psychology: Learning Memory and Cognition",94,"10.1037/a0035261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924581707&doi=10.1037%2fa0035261&partnerID=40&md5=6ba73c4809eba7e97f52cded40800a14","Individual differences; Memory; Spatial cognition; Virtual navigation","adult; computer interface; female; human; individuality; male; physiology; psychomotor performance; spatial behavior; spatial orientation; young adult; Adult; Female; Humans; Individuality; Male; Psychomotor Performance; Spatial Navigation; Spatial Processing; User-Computer Interface; Young Adult",,Article,,Scopus
"6701479303;36666467800;","The capacity of water governance to deal with the climate change adaptation challenge: Using fuzzy set Qualitative Comparative Analysis to distinguish between polycentric, fragmented and centralized regimes",2014,"Global Environmental Change",94,"10.1016/j.gloenvcha.2014.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923250865&doi=10.1016%2fj.gloenvcha.2014.09.003&partnerID=40&md5=401b44b9f33ba5cfeaab10dd1415aba7","Adaptive capacity; Climate change adaptation; Fuzzy set qualitative comparative analysis; Polycentric governance; Water governance systems","adaptive management; climate change; comparative study; empirical analysis; fuzzy mathematics; governance approach; qualitative analysis; river basin; water economics","226571",Article,,Scopus
"7102540176;11138779200;6603425756;6701683285;","Conscientiousness: Origins in childhood?",2014,"Developmental Psychology",94,"10.1037/a0030977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922289373&doi=10.1037%2fa0030977&partnerID=40&md5=01e5acbb5d1b89ea7e6855c470a5328e","Behavioral inhibition; Effortful control; Impulsivity; Reactive control; Regulation","adolescent; child; child development; educational status; executive function; human; impulsiveness; motivation; personality; Adolescent; Child; Child Development; Educational Status; Executive Function; Humans; Impulsive Behavior; Motivation; Personality",,Review,,Scopus
"6602242116;21733667800;9638077400;","Values, identity and pro-environmental behaviour",2014,"Contemporary Social Science",94,"10.1080/21582041.2012.682086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919701100&doi=10.1080%2f21582041.2012.682086&partnerID=40&md5=f854c93d15c3cfa294da4cf1eec16099",,,"RES-152-25-1004",Article,Open Access,Scopus
"35447809100;","Feeling like a state: Social emotion and identity",2014,"International Theory",94,"10.1017/S1752971914000244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908659864&doi=10.1017%2fS1752971914000244&partnerID=40&md5=b4fbc72ec604eaa07b2a3aeeebefe054",,,,Review,,Scopus
"22985526700;","Food and finance: the financial transformation of agro-food supply chains",2014,"Journal of Peasant Studies",94,"10.1080/03066150.2013.874340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907577126&doi=10.1080%2f03066150.2013.874340&partnerID=40&md5=3e13cc0aae2fab9ac8d8c0e17b3dd899","agrarian transformation; agriculture; finance capital; financialization; food","agricultural market; agroindustry; capital; finance; food provisioning; food supply","",Article,,Scopus
"22933842600;37033558900;6504403279;","The vibrations induced by surface irregularities in road pavements - a Matlab® approach",2014,"European Transport Research Review",94,"10.1007/s12544-013-0127-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906778540&doi=10.1007%2fs12544-013-0127-8&partnerID=40&md5=6fcfb84b4284334dadd28c003d769757","Pavements; QCM (Quarter Car Model); Road profile; Roughness; Vibrations","Dynamic loads; Highway planning; Model automobiles; Pavements; Surface roughness; Different damages; Quarter car model; Road pavements; Road profile; Surface degradation; Surface irregularities; Vibrational stress; Vibrations; Vibration analysis",,Article,Open Access,Scopus
"56233934500;54956619400;14032736300;55651735900;","Restart: The resurgence of computer science in UK schools",2014,"ACM Transactions on Computing Education",94,"10.1145/2602484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905856554&doi=10.1145%2f2602484&partnerID=40&md5=ec1f23a259631c1b3a32a1547fa966a9","Computer science education; High school; Teachers","Personnel training; Computer Science Education; High school; Interest groups; Northern Ireland; Rapid growth; Scotland; Teachers; Teaching excellence; Teaching",,Article,,Scopus
"7004818780;","Peer assessment for massive open online courses (MOOCs)",2014,"International Review of Research in Open and Distance Learning",94,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905123144&partnerID=40&md5=08c36068687893b4dd5a02873345396c","Calibrated peer review; Credibility index; Formative evaluation; Massive open online courses (MOOCs); Peer assessment",,,Article,,Scopus
"23669281600;7403400562;6602307498;","Meta-Analysis With Complex Research Designs: Dealing With Dependence From Multiple Measures and Multiple Group Comparisons",2014,"Review of Educational Research",94,"10.3102/0034654313500826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905098291&doi=10.3102%2f0034654313500826&partnerID=40&md5=a038a6b6063e358df1357425bd5dd50e","heterogeneity analysis; meta-analysis; statistical dependence",,"R305F100013

",Article,,Scopus
"7005106498;16029249400;7006450046;7005297639;","Research data management services in academic research libraries and perceptions of librarians",2014,"Library and Information Science Research",94,"10.1016/j.lisr.2013.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903693418&doi=10.1016%2fj.lisr.2013.11.003&partnerID=40&md5=c2fe2bf6f48ecd039ae567141750daf2",,,"0830955",Article,Open Access,Scopus
"7202020084;55570508300;","A review of the game-centred approaches to teaching and coaching literature since 2006",2014,"Physical Education and Sport Pedagogy",94,"10.1080/17408989.2012.754005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902505844&doi=10.1080%2f17408989.2012.754005&partnerID=40&md5=b0468288a30f5db8324426ba98894f4c","coaching; game-centred approaches; review; teaching",,,Review,,Scopus
"27868075000;7102577473;","Cumulative Childhood Adversity, Educational Attainment, and Active Life Expectancy Among U.S. Adults",2014,"Demography",94,"10.1007/s13524-013-0261-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897513010&doi=10.1007%2fs13524-013-0261-x&partnerID=40&md5=9402298585716a44ef549f78deaa968c","Active life expectancy; Childhood conditions; Education; Life tables; Mortality","aged; article; child welfare; daily life activity; educational status; female; human; life expectancy; life table; male; middle aged; preschool child; questionnaire; social class; United States; very elderly; Activities of Daily Living; Aged; Aged, 80 and over; Child Welfare; Child, Preschool; Educational Status; Female; Humans; Life Expectancy; Life Tables; Male; Middle Aged; Questionnaires; Social Class; United States","P30 AG012846

R24 HD042849",Article,,Scopus
"56088073600;6603715015;","Sustainable treatment of aquaculture effluents-What can we learn from the past for the future?",2014,"Sustainability (Switzerland)",94,"10.3390/su6020836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897062341&doi=10.3390%2fsu6020836&partnerID=40&md5=a847eb709ab615cfef95be80eab9e9c4","Aquaculture; Aquaponics; Halophytes; Nutrients; Salicornia spp.; Wastewater; Wetlands","aquaculture effluent; constructed wetland; future prospect; halophyte; pollution tax; recirculating system; sustainable development; waste treatment; wastewater; water resource","",Review,Open Access,Scopus
"7201583580;","Creativity and tourism in the city",2014,"Current Issues in Tourism",94,"10.1080/13683500.2013.783794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895761543&doi=10.1080%2f13683500.2013.783794&partnerID=40&md5=12fc37fe3bd4774396ad4ba64fd4951a","cities; creative cities; creative industries; creative tourism; creativity; urban tourism","knowledge; strategic approach; tourism; tourism development; tourism market; tourist attraction; Florida [United States]; United States",,Article,,Scopus
"12806965200;23484584900;56045559500;","Macroscopic Fundamental Diagrams: A cross-comparison of estimation methods",2014,"Transportation Research Part B: Methodological",94,"10.1016/j.trb.2014.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894451453&doi=10.1016%2fj.trb.2014.01.007&partnerID=40&md5=8dfb89abe771b7393f2eb669b3524ba0","Estimation method; Loop detector; Macroscopic Fundamental Diagram (MFD); Spatial and temporal traffic averages","Transportation; Estimation methods; Full informations; Loop detector; Macroscopic fundamental diagram; Mesoscopic simulation; Spatial and temporal traffic averages; Spatial dynamics; Vehicle trajectories; Research; estimation method; road transport; traffic management; urban transport",,Article,,Scopus
"15128757600;","Potential of underutilized traditional vegetables and legume crops to contribute to food and nutritional security, income and more sustainable production systems",2014,"Sustainability (Switzerland)",94,"10.3390/su6010319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894041506&doi=10.3390%2fsu6010319&partnerID=40&md5=67153717c753baa127baa8ceba675ee6","Amaranth; Climate change; Crop diversification; Drumstick tree; Food and nutritional security; Income generation; Mungbean; Sustainable production systems; Underutilized traditional vegetables","agricultural management; crop plant; crop production; cropping practice; food security; legume; sustainable development; vegetable",,Article,Open Access,Scopus
"57118072300;6602180508;35899543300;","The institutional space of community initiatives for renewable energy: a comparative case study of the Netherlands, Germany and Denmark",2014,"Energy, Sustainability and Society",93,"10.1186/2192-0567-4-11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951052039&doi=10.1186%2f2192-0567-4-11&partnerID=40&md5=3fcd963a2717208bfbaeb3d01c2e7794","Community initiatives; Institutional arrangements; Institutional space; Policy analysis; Renewable energy","Energy policy; Community initiatives; Institutional arrangement; Institutional space; Policy analysis; Renewable energies; Societies and institutions; comparative study; decentralization; energy market; energy policy; institutional reform; literature review; local participation; policy analysis; renewable resource; research work; state role; Denmark; Germany; Netherlands",,Article,Open Access,Scopus
"7006399743;7201543870;","Docosahexaenoic acid and human brain development: Evidence that adietary supply is needed for optimal development",2014,"Journal of Human Evolution",93,"10.1016/j.jhevol.2014.02.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920590641&doi=10.1016%2fj.jhevol.2014.02.017&partnerID=40&md5=542e3254f564ccf77b5c85b436b68421","Brain composition; DHA; Evolution; Nutrition; Omega-3 polyunsaturated fatty acids; PUFA; Shore-based food","Mammalia; Primates; docosahexaenoic acid; omega 3 fatty acid; brain; diet; growth, development and aging; human; physiology; Brain; Diet; Docosahexaenoic Acids; Fatty Acids, Omega-3; Humans",,Article,,Scopus
"18435784700;7006110816;6602939621;","E-learning & information communication technology (ICT) in nursing education: A review of the literature",2014,"Nurse education today",93,"10.1016/j.nedt.2013.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027946119&doi=10.1016%2fj.nedt.2013.05.002&partnerID=40&md5=e14aca6a15e883e37cefec23d8dafaf6","E-learning; Education; Faculty; Informatics; Nursing; Student","education; Internet; nursing education; nursing informatics; nursing student; personnel management; procedures; university; Education, Distance; Education, Nursing; Faculty; Internet; Nursing Informatics; Staff Development; Students, Nursing",,Review,,Scopus
