Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
2940;19400158636;"Sociologija i Prostor";journal;"18465226";0,207;Q3;7;27;56;880;40;55;0,52;32,59;Croatia;Eastern Europe;"Institute for Social Research in Zagreb";"2009-2019";"Education (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3); Urban Studies (Q3)"
2941;13765;"Journal for Eighteenth-Century Studies";journal;"17540208, 17540194";0,206;Q2;10;33;103;1967;22;98;0,25;59,61;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1972-1973, 1975-1995, 2009-2020";"Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); History (Q2)"
2942;100147325;"Journal of Classical Sociology";journal;"17412897, 1468795X";0,206;Q3;21;27;78;1221;38;72;0,47;45,22;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Sociology and Political Science (Q3)"
2943;21100401034;"Journal of Pedagogy";journal;"13381563, 13382144";0,206;Q3;8;13;41;421;17;41;0,48;32,38;Germany;Western Europe;"Walter de Gruyter";"2010-2019";"Education (Q3)"
2944;89299;"Revista Brasileira de Estudos de Populacao";journal;"01023098";0,206;Q3;11;31;91;944;24;84;0,20;30,45;Brazil;Latin America;"Associacao Brasileira De Estudos Populacionais";"1984-1992, 1996, 2007-2019";"Demography (Q3)"
2945;18032;"Sociologia";journal;"00491225, 13368613";0,206;Q3;12;33;81;1219;27;79;0,41;36,94;Slovakia;Eastern Europe;"Slovak Academy of Sciences - Social Biological Comm";"1998, 2002-2020";"Sociology and Political Science (Q3)"
2946;5600155405;"Asian Ethnicity";journal;"14692953, 14631369";0,205;Q2;15;29;66;994;47;64;0,71;34,28;United Kingdom;Western Europe;"Routledge";"2008-2020";"Cultural Studies (Q2); Sociology and Political Science (Q3)"
2947;23043;"Asian Journal of Women's Studies";journal;"12259276";0,205;Q3;11;29;46;924;24;46;0,53;31,86;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Gender Studies (Q3)"
2948;5800207601;"Australian Journal of Language and Literacy";journal;"10381562";0,205;Q2;17;21;66;587;37;44;0,97;27,95;Australia;Pacific Region;"Australian Reading Association";"1997-2018";"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q3)"
2949;16400154727;"European Romantic Review";journal;"17404657, 10509585";0,205;Q2;11;39;134;1512;26;128;0,12;38,77;United Kingdom;Western Europe;"Routledge";"1990-2020";"Literature and Literary Theory (Q1); Cultural Studies (Q2)"
2950;145056;"International Journal of Distance Education Technologies";journal;"15393100";0,205;Q3;18;29;68;846;42;64;0,57;29,17;United States;Northern America;"IGI Publishing";"2003-2020";"Computer Networks and Communications (Q3); Education (Q3); Computer Science Applications (Q4); E-learning (Q4)"
2951;19700168801;"Journal of Eurasian Studies";journal;"18793665";0,205;Q2;15;20;53;1237;36;53;0,69;61,85;South Korea;Asiatic Region;"Hanyang University";"2010-2018";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
2952;21100390171;"Journal of Historical Linguistics";journal;"22102116, 22102124";0,205;Q2;7;14;24;655;9;24;0,38;46,79;Netherlands;Western Europe;"John Benjamins Publishing Company";"2011-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2)"
2953;17700156404;"Journal of International Agricultural and Extension Education (discontinued)";journal;"10770755";0,205;Q3;8;97;51;760;26;46;0,53;7,84;United States;Northern America;"Association for International Agricultural and Extension Education";"2008-2016";"Education (Q3); Agronomy and Crop Science (Q4)"
2954;27190;"Machine Translation";journal;"09226567, 15730573";0,205;Q2;26;12;46;494;55;43;1,07;41,17;Netherlands;Western Europe;"Springer Netherlands";"1989-2020";"Language and Linguistics (Q2); Linguistics and Language (Q2); Artificial Intelligence (Q4); Software (Q4)"
2955;4700152746;"Music Reference Services Quarterly";journal;"10588167";0,205;Q3;8;23;56;236;7;51;0,17;10,26;United States;Northern America;"Routledge";"1992-1998, 2001-2002, 2004, 2006-2020";"Music (Q2); Library and Information Sciences (Q3)"
2956;29461;"Scandinavian Economic History Review";journal;"03585522, 17502837";0,205;Q3;14;12;44;771;15;35;0,50;64,25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1953-2020";"History (Q2); Aerospace Engineering (Q3); Arts and Humanities (miscellaneous) (Q3); Geography, Planning and Development (Q3)"
2957;22016;"Teorija in Praksa";journal;"00403598";0,205;Q3;8;41;117;1523;25;110;0,23;37,15;Slovenia;Eastern Europe;"Ljubljana University, Faculty of Social Sciences";"1981-1983, 1985, 2011-2019";"Social Sciences (miscellaneous) (Q3)"
2958;21100201535;"World Transactions on Engineering and Technology Education";journal;"14462257";0,205;Q3;12;118;167;1208;37;156;0,29;10,24;Australia;Pacific Region;"World Institute for Engineering and Technology Education (WIETE)";"2009-2020";"Education (Q3); Engineering (miscellaneous) (Q3)"
2959;4700152739;"Child and Youth Services";journal;"15452298, 0145935X";0,204;Q3;12;29;57;898;17;46;0,36;30,97;United States;Northern America;"Routledge";"1977-1983, 1985-1991, 1993-1994, 1997-1999, 2001, 2004-2020";"Health (social science) (Q3); Social Sciences (miscellaneous) (Q3)"
2960;71244;"Communications - Scientific Letters of the University of Zilina";journal;"13354205, 25857878";0,204;Q4;20;111;267;1265;137;255;0,57;11,40;Slovakia;Eastern Europe;"University of Zilina";"2003-2020";"Automotive Engineering (Q3); Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Economics and Econometrics (Q4); Transportation (Q4)"
2961;5600153675;"Dve Domovini";journal;"15811212, 03536777";0,204;Q2;8;23;75;741;20;75;0,36;32,22;Slovenia;Eastern Europe;"ZRC SAZU, Zalozba ZRC";"2008-2020";"Cultural Studies (Q2); Demography (Q3); Sociology and Political Science (Q3)"
2962;27159;"Innovation";journal;"13511610, 14698412";0,204;Q3;32;31;91;1359;55;77;0,62;43,84;United Kingdom;Western Europe;"Routledge";"1988-2020";"Geography, Planning and Development (Q3); Management of Technology and Innovation (Q4)"
2963;19900191760;"Journal of Peace Education";journal;"17400201, 1740021X";0,204;Q3;12;20;58;920;25;54;0,38;46,00;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
2964;97067;"Arheoloski Vestnik";journal;"15811204, 05708966";0,203;Q2;12;14;35;1128;14;35;0,38;80,57;Slovenia;Eastern Europe;"ZRC SAZU, Zalozba ZRC";"1981, 1983, 2002-2019";"Archeology (Q2); Archeology (arts and humanities) (Q2)"
2965;17587;"Canadian Journal of Sociology";journal;"03186431";0,203;Q3;31;24;42;1154;28;41;0,50;48,08;Canada;Northern America;"University of Toronto Press";"1977, 1979, 1981-1982, 1984-1985, 1987, 1993-1994, 1996-2019";"Sociology and Political Science (Q3)"
2966;21100274341;"Environment and Urbanization ASIA";journal;"09763546, 09754253";0,203;Q3;11;21;59;589;34;53;0,51;28,05;United States;Northern America;"SAGE Publications Inc.";"2010-2019";"Urban Studies (Q3)"
2967;28656;"Geografski Vestnik";journal;"03503895";0,203;Q3;8;12;57;330;10;55;0,26;27,50;Slovenia;Eastern Europe;"University of Ljubljana";"1992-2019";"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)"
2968;5000153902;"Journal of Social Work Practice in the Addictions";journal;"1533256X";0,203;Q3;22;28;85;1086;38;80;0,48;38,79;United States;Northern America;"Routledge";"2001-2020";"Health (social science) (Q3); Rehabilitation (Q3); Social Work (Q4)"
2969;19700177120;"Journal of the Australian and New Zealand Student Services Association";journal;"13202480";0,203;Q3;6;17;57;244;21;53;0,44;14,35;Australia;Pacific Region;"Australian and New Zealand Student Services Association";"2009-2013, 2016-2019";"Education (Q3)"
2970;28693;"Geographical Bulletin - Gamma Theta Upsilon";journal;"07313292";0,202;Q3;7;4;32;161;11;28;0,19;40,25;United States;Northern America;"Kutztown  University of Pennsylvania";"1988-2006, 2008-2019";"Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)"
2971;28756;"Geographische Rundschau";journal;"00167460";0,202;Q3;12;74;252;1413;38;250;0,13;19,09;Germany;Western Europe;"Westermann Schulbuchverlag GmbH";"1975, 1977-2014, 2018-2020";"Energy (miscellaneous) (Q3); Geography, Planning and Development (Q3); Water Science and Technology (Q3); Atmospheric Science (Q4)"
2972;21100201774;"Performance Enhancement and Health";journal;"22112669";0,202;Q3;12;38;14;1447;16;12;1,33;38,08;Netherlands;Western Europe;"Elsevier BV";"2013-2014, 2017-2020";"Health (social science) (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Public Health, Environmental and Occupational Health (Q3)"
2973;4100151502;"Psychologie du Travail et des Organisations";journal;"14202530";0,202;Q4;8;26;85;850;13;67;0,15;32,69;France;Western Europe;"Elsevier Masson SAS";"2005-2006, 2008-2020";"Human Factors and Ergonomics (Q4); Social Psychology (Q4)"
2974;10300153374;"WSEAS Transactions on Environment and Development";journal;"17905079, 22243496";0,202;Q3;18;28;127;723;37;127;0,24;25,82;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2007-2015, 2017-2020";"Energy (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3)"
2975;5700169047;"Anthropology of Work Review";journal;"0883024X";0,201;Q2;14;10;37;260;14;27;0,42;26,00;United States;Northern America;"Wiley-Blackwell";"1980-2019";"Anthropology (Q2)"
2976;21475;"East Central Europe";journal;"00943037, 18763308";0,201;Q2;8;19;52;1017;14;46;0,17;53,53;Netherlands;Western Europe;"Brill Academic Publishers";"1975-1983, 1985-1987, 1989-1990, 1992-1993, 1999-2007, 2009-2019";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
2977;21562;"Environments";journal;"07116780";0,201;Q3;15;0;13;0;8;12;0,00;0,00;Canada;Northern America;"Wilfrid Laurier University";"1983-1994, 1996-2010, 2012";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Ecology (Q4)"
2978;19700201412;"Journal of Integral Theory and Practice";journal;"19445091, 19445083";0,201;Q3;7;34;116;1442;34;100;0,27;42,41;United States;Northern America;"Integral Institute";"2010-2014";"Philosophy (Q2); Communication (Q3); Education (Q3)"
2979;19400158901;"Perfiles Educativos";journal;"01852698";0,201;Q3;9;59;168;1431;16;155;0,10;24,25;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2004-2005, 2009-2019";"Education (Q3)"
2980;4700152850;"Revista Brasileira de Ensino de Fisica";journal;"01024744";0,201;Q3;10;95;236;1927;41;230;0,22;20,28;Brazil;Latin America;"Sociedade Brasileira de Fisica";"2006-2019";"Education (Q3); Physics and Astronomy (miscellaneous) (Q4)"
2981;5000160208;"Revista Cubana de Educacion Medica Superior";journal;"08642141, 15612902";0,201;Q3;12;60;173;832;25;165;0,15;13,87;Cuba;Latin America;"Editorial Ciencias Medicas";"1996-2002, 2006-2007, 2009-2019";"Education (Q3); Medicine (miscellaneous) (Q3)"
2982;4000150503;"American Journal of Health Education";journal;"21683751, 19325037";0,200;Q3;27;42;132;1379;64;131;0,51;32,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001-2020";"Health (social science) (Q3); Public Health, Environmental and Occupational Health (Q3)"
2983;5700161108;"Anthropologist (discontinued)";journal;"09720073";0,200;Q2;13;119;163;3840;36;163;0,20;32,27;India;Asiatic Region;"Kamla-Raj Enterprises";"2008-2016";"Anthropology (Q2)"
2984;19700187616;"Christian Higher Education";journal;"15363759, 15394107";0,200;Q3;12;25;84;794;19;73;0,24;31,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002-2020";"Religious Studies (Q1); Education (Q3)"
2985;4400151727;"Estudos Avancados";journal;"18069592, 01034014";0,200;Q2;22;68;205;1274;42;188;0,13;18,74;Brazil;Latin America;"Instituto de Estudos Avancados da Universidade de Sao Paulo";"2006-2019";"Cultural Studies (Q2); Sociology and Political Science (Q3)"
2986;21100199530;"Etnolog";journal;"03540316";0,200;Q2;6;17;51;564;7;46;0,04;33,18;Slovenia;Eastern Europe;"Slovene Ethnographic Museum";"1996-2018";"Museology (Q1); Anthropology (Q2); Cultural Studies (Q2); History (Q2)"
2987;21100242208;"Fennoscandia Archaeologica";journal;"07817126";0,200;Q2;6;9;14;526;6;13;0,46;58,44;Finland;Western Europe;"The Archaeological Society of Finland";"2011-2018";"Archeology (Q2); Archeology (arts and humanities) (Q2)"
2988;29022;"Generations";journal;"07387806";0,200;Q4;33;70;199;838;51;188;0,15;11,97;United States;Northern America;"American Society on Aging";"1985, 1990, 1994, 1996-2019";"Geriatrics and Gerontology (Q3); Public Health, Environmental and Occupational Health (Q3); Life-span and Life-course Studies (Q4)"
2989;66262;"International Journal of Continuing Engineering Education and Life-Long Learning";journal;"15604624, 17415055";0,200;Q3;19;30;84;742;42;83;0,48;24,73;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"1986, 1988, 1990-2019";"Education (Q3); Engineering (miscellaneous) (Q3); E-learning (Q4)"
2990;17600155309;"International Journal of Fashion Design, Technology and Education";journal;"17543266, 17543274";0,200;Q3;12;26;64;748;20;55;0,17;28,77;United States;Northern America;"Taylor and Francis Ltd.";"2008-2020";"Visual Arts and Performing Arts (Q1); Industrial and Manufacturing Engineering (Q2); Education (Q3)"
2991;5800208051;"Languages in Contrast";journal;"13876759, 15699897";0,200;Q2;9;12;35;302;13;33;0,45;25,17;Netherlands;Western Europe;"John Benjamins Publishing Company";"2008-2020";"Linguistics and Language (Q2)"
2992;16800154750;"Middle East Journal of Culture and Communication";journal;"18739857, 18739865";0,200;Q2;10;12;62;94;32;55;0,36;7,83;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2019";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Communication (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
2993;5700167216;"Stato e Mercato";journal;"03929701";0,200;Q3;17;17;55;887;18;53;0,40;52,18;Italy;Western Europe;"Societa Editrice Il Mulino";"1997-2018";"Sociology and Political Science (Q3)"
2994;17600155046;"Travailler";journal;"21025150, 16205340";0,200;Q3;12;22;64;538;10;58;0,19;24,45;France;Western Europe;"Martin Media";"2001-2019";"Clinical Psychology (Q3); Health (social science) (Q3); Social Psychology (Q4)"
2995;29423;"Alberta Journal of Educational Research";journal;"19231857, 00024805";0,199;Q3;20;40;91;1810;22;89;0,24;45,25;Canada;Northern America;"University of Alberta";"1996-2019";"Education (Q3)"
2996;19700186953;"Enterprise Development and Microfinance";journal;"17551978, 17551986";0,199;Q3;15;29;80;351;16;67;0,26;12,10;United Kingdom;Western Europe;"Practical Action Publishing";"2007-2019";"Development (Q3); Geography, Planning and Development (Q3)"
2997;7700153112;"Index de Enfermeria";journal;"11321296";0,199;Q3;9;61;183;1177;42;149;0,20;19,30;Spain;Western Europe;"Fundacion Index";"2006-2019";"Health (social science) (Q3); History and Philosophy of Science (Q3); Public Health, Environmental and Occupational Health (Q4)"
2998;18100156704;"International Review of Law, Computers and Technology";journal;"13600869, 13646885";0,199;Q3;12;19;69;1677;36;62;0,59;88,26;United Kingdom;Western Europe;"Routledge";"1984, 1986-1987, 1989, 1991-1995, 2009-2020";"Law (Q3); Computer Science Applications (Q4)"
2999;19900192131;"Journal of Leadership Studies";journal;"19352611, 1935262X";0,199;Q3;11;30;96;914;31;80;0,39;30,47;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2020";"Education (Q3)"
3000;5600153108;"Papers: Revista de sociologia";journal;"02102862, 20139004";0,199;Q3;9;40;96;1407;24;96;0,25;35,18;Spain;Western Europe;"Universitat Autonoma de Barcelona";"2011-2020";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
3001;19700181241;"Physiology and Pharmacology";journal;"17350581";0,199;-;10;35;155;1194;53;154;0,32;34,11;Iran;Middle East;"Neuroscience Research Center";"2009-2019";"Pharmacology (Q3); Physiology (Q4)"
3002;10800153306;"Revista de Administracao Publica";journal;"19823134, 00347612";0,199;Q3;15;66;224;2606;35;207;0,14;39,48;Brazil;Latin America;"Fundacao Getulio Vargas";"2007-2020";"Public Administration (Q3)"
3003;21100283711;"Social Care and Neurodisability";journal;"20420919";0,199;Q4;9;18;93;570;10;87;0,10;31,67;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2014";"Advanced and Specialized Nursing (Q3); Community and Home Care (Q3); Rehabilitation (Q3); Health (social science) (Q4)"
3004;5600155101;"Sociologus";journal;"00380377";0,199;Q3;6;8;27;304;10;25;0,31;38,00;Germany;Western Europe;"Duncker und Humblot GmbH";"1982, 1987, 2008-2019";"Social Sciences (miscellaneous) (Q3)"
3005;21100423127;"Stability";journal;"21652627";0,199;Q3;14;63;10;1912;10;7;1,43;30,35;United Kingdom;Western Europe;"Ubiquity Press";"2012-2020";"Law (Q3); Political Science and International Relations (Q3)"
3006;22720;"American Criminal Law Review";journal;"01640364";0,198;Q3;21;39;71;10302;17;69;0,13;264,15;United States;Northern America;"Georgetown University Law Center";"1975, 1981, 1986, 1991, 1996-2015";"Law (Q3)"
3007;5800170634;"Astropolitics";journal;"14777622, 15572943";0,198;Q3;8;16;48;944;16;47;0,17;59,00;United States;Northern America;"Routledge";"2007-2019";"Political Science and International Relations (Q3); Astronomy and Astrophysics (Q4)"
3008;19900191880;"Bolema - Mathematics Education Bulletin";journal;"0103636X, 19804415";0,198;Q3;7;65;149;1437;16;137;0,11;22,11;Brazil;Latin America;"BOLEMA Departamento de Matematica";"2010-2019";"Education (Q3); Mathematics (miscellaneous) (Q4)"
3009;4000148801;"Chemistry (discontinued)";journal;"08619255";0,198;Q3;10;57;144;834;42;135;0,36;14,63;Bulgaria;Eastern Europe;"Ministry of Education, Youth and Science (GRPI)";"2006-2017";"Chemistry (miscellaneous) (Q3); Education (Q3)"
3010;21100435972;"Journal of Global Fashion Marketing";journal;"20932685, 23254483";0,198;Q2;17;21;49;962;56;49;0,97;45,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Cultural Studies (Q2); Marketing (Q3); Strategy and Management (Q3); Management of Technology and Innovation (Q4)"
3011;5800222692;"Magyar Nyelv";journal;"15881210, 00250228";0,198;Q2;4;48;81;980;10;78;0,13;20,42;Hungary;Eastern Europe;"Argumentum Kiado";"2011-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2)"
3012;21100228568;"Maritime Studies";journal;"22129790, 18727859";0,198;Q3;14;11;14;735;11;12;0,92;66,82;Germany;Western Europe;"Springer Verlag";"2012-2020";"Development (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Water Science and Technology (Q3); Aquatic Science (Q4)"
3013;3900148501;"North American Journal of Psychology";journal;"15277143";0,198;Q3;26;48;131;1449;58;121;0,41;30,19;United States;Northern America;"North American Journal of Psychology";"2005-2019";"Education (Q3); Sociology and Political Science (Q3); Developmental and Educational Psychology (Q4); Psychology (miscellaneous) (Q4)"
3014;16400154767;"Pomegranate";journal;"17431735, 15280268";0,198;Q2;7;16;46;525;9;41;0,19;32,81;United Kingdom;Western Europe;"Equinox Publishing Ltd";"2004-2018";"Religious Studies (Q1); Cultural Studies (Q2)"
3015;12460;"Przeglad Geograficzny";journal;"00332143";0,198;Q3;11;32;108;1223;24;108;0,17;38,22;Poland;Eastern Europe;"Polska Akademia Nauk";"1976-1989, 1993-2019";"Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)"
3016;20500195402;"Psychology Learning and Teaching";journal;"14757257";0,198;Q3;9;34;71;796;17;66;0,26;23,41;United Kingdom;Western Europe;"SAGE Publications Inc.";"2011-2020";"Education (Q3); Psychology (miscellaneous) (Q4)"
3017;19707;"Independent Review";journal;"10861653";0,197;Q3;19;32;106;906;31;104;0,22;28,31;United States;Northern America;"Independent Institute";"1996-2018";"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)"
3018;19700176214;"International Electronic Journal of Elementary Education";journal;"13079298";0,197;Q3;16;24;72;775;38;66;0,54;32,29;Turkey;Middle East;"Dumlupinar Universty";"2009-2020";"Education (Q3)"
3019;5600153617;"Irish Studies Review";journal;"09670882";0,197;Q2;10;30;73;1022;17;69;0,11;34,07;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2002, 2010-2020";"Literature and Literary Theory (Q1); Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
3020;5600153506;"Israel Affairs";journal;"13537121";0,197;Q2;17;42;105;2541;30;104;0,36;60,50;United Kingdom;Western Europe;"Routledge";"1994-2020";"Cultural Studies (Q2); History (Q2); Political Science and International Relations (Q3)"
3021;21100370349;"Journal of Criminal Psychology";journal;"20093829";0,197;Q3;8;12;19;657;9;17;0,53;54,75;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2020";"Law (Q3); Applied Psychology (Q4); Social Psychology (Q4)"
3022;21100324716;"Journal of Disability and Religion";journal;"23312521, 2331253X";0,197;Q4;12;30;87;595;12;79;0,15;19,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Religious Studies (Q1); Rehabilitation (Q3); Health (social science) (Q4)"
3023;5800170538;"Journal of the History of International Law";journal;"1388199X, 15718050";0,197;Q3;8;12;34;1080;14;33;0,55;90,00;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2007-2019";"History (Q2); Law (Q3); Political Science and International Relations (Q3)"
3024;5600153163;"New Zealand Sociology";journal;"0112921X";0,197;Q3;8;42;112;2089;45;95;0,40;49,74;New Zealand;Pacific Region;"New Zealand Sociology";"2010-2019";"Social Sciences (miscellaneous) (Q3)"
3025;21100239603;"Public Reason";journal;"20657285, 20658958";0,197;Q3;5;12;18;420;3;18;0,17;35,00;Romania;Eastern Europe;"The Center for the Study of Rationality and Beliefs, University of Bucharest";"2012-2018";"Philosophy (Q2); Sociology and Political Science (Q3)"
3026;87222;"Review of Politics";journal;"00346705";0,197;Q3;19;45;76;1843;21;75;0,18;40,96;United Kingdom;Western Europe;"Cambridge University Press";"1939-2019";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
3027;17171;"Slavery and Abolition";journal;"17439523, 0144039X";0,197;Q3;22;35;85;2802;36;83;0,40;80,06;United Kingdom;Western Europe;"Routledge";"1980-2020";"History (Q2); Sociology and Political Science (Q3)"
3028;5600153211;"South African Review of Sociology";journal;"21528586, 20721978";0,197;Q3;17;30;85;1095;24;79;0,15;36,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Social Sciences (miscellaneous) (Q3)"
3029;19900193545;"Boletimdo Museu Paraense Emilio Goeldi:Ciencias Humanas";journal;"19818122, 21782547";0,196;Q2;8;42;72;1513;15;63;0,24;36,02;Brazil;Latin America;"Museu Paraense Emilio Goeldi";"2011-2019";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Language and Linguistics (Q2); Linguistics and Language (Q2)"
3030;5800207734;"Dialectologia et Geolinguistica";journal;"09424040";0,196;Q2;4;0;18;0;5;18;0,17;0,00;Germany;Western Europe;"De Gruyter Mouton";"1993-1995, 2009-2012, 2014-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2)"
3031;17700155038;"Droit et Societe";journal;"19696973, 07693362";0,196;Q3;12;26;89;1465;13;87;0,15;56,35;France;Western Europe;"Editions Juridiques Associees";"2001-2017";"Law (Q3); Sociology and Political Science (Q3)"
3032;62388;"Esprit";journal;"00140759, 21114579";0,196;Q3;7;154;596;1195;44;516;0,10;7,76;France;Western Europe;"";"1973, 1975, 1981-1983, 2010-2019";"Religious Studies (Q1); Arts and Humanities (miscellaneous) (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
3033;25764;"Internasjonal Politikk";journal;"0020577X";0,196;Q3;6;48;145;1260;15;134;0,07;26,25;Norway;Western Europe;"Norwegian Institute of International Affairs";"1996-2015";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
3034;4100151613;"Journal of Applied Engineering Science";journal;"18213197, 14514117";0,196;Q4;11;28;88;414;36;77;0,56;14,79;Serbia;Eastern Europe;"Institut za istrazivanja i projektovanja u privredi";"2006-2020";"Civil and Structural Engineering (Q3); Engineering (miscellaneous) (Q3); Mechanical Engineering (Q3); Renewable Energy, Sustainability and the Environment (Q3); Safety, Risk, Reliability and Quality (Q3); Transportation (Q4)"
3035;5700188557;"Journal of Literary Semantics";journal;"03417638";0,196;Q2;11;11;35;403;17;35;0,35;36,64;Germany;Western Europe;"De Gruyter Mouton";"1972-2019";"Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2)"
3036;22754;"Journal of the Asian Pacific Economy";journal;"13547860, 14699648";0,196;Q3;25;38;109;1217;58;105;0,44;32,03;United Kingdom;Western Europe;"Routledge";"1996-2020";"Development (Q3); Geography, Planning and Development (Q3); Political Science and International Relations (Q3)"
3037;5800207749;"Nordic Journal of Linguistics";journal;"03325865, 15024717";0,196;Q2;13;14;42;566;15;39;0,42;40,43;United Kingdom;Western Europe;"Cambridge University Press";"1978-2020";"Language and Linguistics (Q2); Linguistics and Language (Q2)"
3038;100147340;"Socialism and Democracy";journal;"08854300, 17452635";0,196;Q3;13;17;108;502;35;91;0,36;29,53;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-1992, 1995-1997, 1999, 2001-2002, 2004-2020";"Sociology and Political Science (Q3)"
3039;14760;"Zeitschrift fur Bibliothekswesen und Bibliographie";journal;"18642950, 00442380";0,196;Q3;5;45;120;565;10;105;0,13;12,56;Germany;Western Europe;"Vittorio Klostermann";"1969, 1988-2019";"Library and Information Sciences (Q3)"
3040;5600153192;"Annales: Economies, Societies, Civilsations";journal;"03952649";0,195;Q3;16;28;97;2449;54;92;0,57;87,46;France;Western Europe;"Armand Colin Paris";"1968, 1970, 1973-1993, 1995-1997, 1999-2020";"History (Q2); Social Sciences (miscellaneous) (Q3)"
3041;5600153161;"Anthropological Notebooks";journal;"1408032X";0,195;Q2;11;18;53;603;27;50;0,53;33,50;Slovenia;Eastern Europe;"Slovene Anthropological Society";"2010-2019";"Anthropology (Q2)"
3042;12810;"Journal of Information Ethics";journal;"10619321";0,195;Q3;11;22;68;295;16;56;0,12;13,41;United States;Northern America;"McFarland and Company, Inc";"1992, 1994, 1996-2019";"Philosophy (Q2); Library and Information Sciences (Q3)"
3043;85383;"Journal of the Association for History and Computing";journal;"19375905";0,195;Q3;8;0;7;0;4;6;0,00;0,00;United States;Northern America;"American Association for History and Computing";"1998-2010";"History (Q2); Education (Q3); Computer Science Applications (Q4)"
3044;5600152922;"La Revue du MAUSS";journal;"12474819";0,195;Q3;10;49;191;995;25;188;0,06;20,31;France;Western Europe;"Editions La Decouverte";"2001-2019";"Philosophy (Q2); Sociology and Political Science (Q3)"
3045;21634;"Revija za Kriminalistiko in Kriminologijo";journal;"0034690X";0,195;Q3;8;35;47;1162;26;46;0,57;33,20;Slovenia;Eastern Europe;"Republiski sekretariat za notranje zadeve SR Slovenije";"1981, 2011-2018";"Law (Q3); Pathology and Forensic Medicine (Q4); Social Psychology (Q4)"
3046;19900193554;"Revista de Derecho Comunitario Europeo";journal;"19895569, 11384026";0,195;Q3;5;36;86;2828;27;82;0,42;78,56;Spain;Western Europe;"Centro de Estudios Politicos y Constitucionales";"2008-2019";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
