Source title,CiteScore,Highest percentile,2010-13 Citations,2010-13 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Marine Pollution Bulletin,4.4,"86.0%
25/188
Aquatic Science",7105,1615,70,1.526,1.21,Elsevier,0025326X
Plant Pathology,4.4,"91.0%
6/64
Horticulture",2211,505,76,1.647,1.115,Wiley-Blackwell,320862
River Research and Applications,4.4,"89.0%
19/182
Water Science and Technology",1865,427,82,1.232,0.924,Wiley-Blackwell,15351459
Soil and Tillage Research,4.4,"89.0%
30/291
Agronomy and Crop Science",2103,473,75,2.076,1.769,Elsevier,1671987
AAPG Bulletin,4.3,"91.0%
15/168
Energy Engineering and Power Technology",1395,325,76,1.868,1.19,American Association of Petroleum Geologists,1491423
Apidologie,4.3,"90.0%
12/120
Insect Science",1201,278,69,1.414,1.012,Springer Nature,448435
Applied Soil Ecology,4.3,"88.0%
5/40
Agricultural and Biological Sciences (miscellaneous)",2380,555,75,1.475,1.1,Elsevier,9291393
Aquatic Microbial Ecology,4.3,"83.0%
31/188
Aquatic Science",1186,279,73,0.839,1.029,Inter-Research Science Publishing,9483055
Aquatic Sciences,4.3,"89.0%
20/182
Water Science and Technology",767,179,77,1.284,1.201,Springer Nature,10151621
Biological Journal of the Linnean Society,4.3,"80.0%
101/504
Ecology, Evolution, Behavior and Systematics",3624,834,79,1.13,1.285,Oxford University Press,244066
Botanical Journal of the Linnean Society,4.3,"84.0%
58/362
Plant Science",1437,333,90,1.381,0.732,Wiley-Blackwell,244074
Ecological Modelling,4.3,"69.0%
7/21
Ecological Modeling",5455,1281,77,1.311,1.148,Elsevier,3043800
"Estuarine, Coastal and Shelf Science",4.3,"85.0%
28/188
Aquatic Science",4904,1144,77,1.422,1.32,Elsevier,2727714
Foodborne Pathogens and Disease,4.3,"94.0%
19/336
Animal Science and Zoology",3050,717,74,1.122,1.184,Mary Ann Liebert,15353141
International Journal of Applied Earth Observation and Geoinformation,4.3,"88.0%
25/221
Management, Monitoring, Policy and Law",1912,440,80,1.785,1.074,Elsevier,15698432
International Journal of Earth Sciences,4.3,"93.0%
12/167
General Earth and Planetary Sciences",2104,490,75,1.005,1.211,Springer Nature,14373254
International Journal of Wildland Fire,4.3,"93.0%
9/131
Forestry",1634,382,74,1.256,1.462,CSIRO,10498001
Journal of Environmental Economics and Management,4.3,"89.0%
52/510
Economics and Econometrics",964,224,71,2.652,2.81,Elsevier,950696
Journal of Great Lakes Research,4.3,"85.0%
27/188
Aquatic Science",2151,497,77,0.928,0.995,International Association for Great Lakes Research,3801330
Journal of Plant Research,4.3,"84.0%
57/362
Plant Science",1334,309,76,1.084,1.058,Springer Nature,9189440
Journal of Transport Geography,4.3,"94.0%
29/561
Geography, Planning and Development",2332,538,70,2.108,1.665,Elsevier,9666923
Journal of Water Resources Planning and Management - ASCE,4.3,"94.0%
30/561
Geography, Planning and Development",1078,252,79,2.141,1.299,ASCE,7339496
Lethaia,4.3,"90.0%
9/86
Paleontology",742,173,82,1.106,1.092,Wiley-Blackwell,241164
Marine and Freshwater Research,4.3,"84.0%
30/188
Aquatic Science",2195,513,77,1.01,1.229,CSIRO,13231650
Molecular Breeding,4.3,"89.0%
32/291
Agronomy and Crop Science",2598,606,75,1.187,1.096,Springer Nature,13803743
Plant Molecular Biology Reporter,4.3,"83.0%
61/362
Plant Science",2035,477,78,0.986,0.694,Springer Nature,7359640
The Botanical Review,4.3,"83.0%
60/362
Plant Science",355,83,70,1.411,0.854,Springer Nature,68101
Atmospheric Research,4.2,"78.0%
21/96
Atmospheric Science",3577,849,77,1.508,1.141,Elsevier,1698095
"Comparative biochemistry and physiology. Part A, Molecular & integrative physiology",4.2,"57.0%
70/163
Physiology",3180,763,79,1.043,0.974,Elsevier,#N/A
Contributions to Zoology,4.2,"93.0%
23/336
Animal Science and Zoology",249,60,78,1.028,0.816,Brill,13834517
Earthquake Engineering and Structural Dynamics,4.2,"97.0%
5/162
Geotechnical Engineering and Engineering Geology",1817,432,78,2.801,2.449,Wiley-Blackwell,988847
Energy for Sustainable Development,4.2,"94.0%
31/561
Geography, Planning and Development",989,233,70,2.045,1.651,Elsevier,9730826
Fisheries Oceanography,4.2,"83.0%
32/188
Aquatic Science",622,147,75,1.226,1.797,Wiley-Blackwell,10546006
Food Policy,4.2,"96.0%
35/902
Sociology and Political Science",1487,354,66,2.037,1.29,Elsevier,3069192
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,4.2,"79.0%
5/22
Computers in Earth Sciences",2437,583,74,2.105,1.573,IEEE,19391404
Inhalation Toxicology,4.2,"75.0%
25/100
Health, Toxicology and Mutagenesis",1724,414,77,0.871,0.895,Taylor & Francis,8958378
Journal of Dairy Science,4.2,"94.0%
20/336
Animal Science and Zoology",11590,2758,73,1.603,1.411,Elsevier,220302
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,4.2,"93.0%
21/336
Animal Science and Zoology",865,206,77,0.793,1.374,Wiley-Blackwell,15525007
Journal of Mammalian Evolution,4.2,"78.0%
109/504
Ecology, Evolution, Behavior and Systematics",290,69,87,1.59,1.884,Springer Nature,10647554
Marine Biology,4.2,"82.0%
33/188
Aquatic Science",3912,940,79,1.062,1.276,Springer Nature,253162
Organisms Diversity and Evolution,4.2,"78.0%
111/504
Ecology, Evolution, Behavior and Systematics",580,139,71,1.339,1.206,Springer Nature,14396092
Physiological and Biochemical Zoology,4.2,"93.0%
22/336
Animal Science and Zoology",1241,299,75,0.774,1.011,University of Chicago Press,15222152
Precision Agriculture,4.2,"86.0%
21/157
General Agricultural and Biological Sciences",789,190,77,1.743,1.017,Springer Nature,13852256
Reactive and Functional Polymers,4.2,"86.0%
37/270
General Chemical Engineering",2561,613,72,1.199,0.85,Elsevier,13815148
Regional Studies,4.2,"95.0%
9/181
General Social Sciences",1114,266,86,1.821,1.31,Taylor & Francis,343404
Water Resources Management,4.2,"93.0%
15/224
Civil and Structural Engineering",4176,999,73,1.812,1.379,Springer Nature,9204741
Aerosol and Air Quality Research,4.1,"78.0%
22/101
Pollution",1904,464,67,1.362,1.014,AAGR Aerosol and Air Quality Research,16808584
American Journal of Human Biology,4.1,"95.0%
13/251
Anthropology",1664,406,71,0.973,1.039,Wiley-Blackwell,10420533
Animal Health Research Reviews,4.1,"93.0%
24/336
Animal Science and Zoology",272,66,65,0.394,1.327,Cambridge University Press,14662523
Biotropica,4.1,"77.0%
114/504
Ecology, Evolution, Behavior and Systematics",1607,390,82,1.132,1.144,Wiley-Blackwell,63606
Ecohydrology,4.1,"83.0%
21/125
Earth-Surface Processes",1158,282,85,1.144,1.264,Wiley-Blackwell,19360584
Environment and Planning D: Society and Space,4.1,"94.0%
32/561
Geography, Planning and Development",1081,263,66,2.381,2.637,SAGE,2637758
Food and Bioproducts Processing,4.1,"87.0%
31/238
Food Science",1304,320,73,1.938,0.939,Institution of Chemical Engineers,9603085
Fungal Biology,4.1,"82.0%
64/362
Plant Science",1762,428,79,1.104,0.93,Elsevier,18786146
Geotechnique,4.1,"95.0%
7/162
Geotechnical Engineering and Engineering Geology",1474,360,74,2.965,3.033,ICE Publishing Ltd.,168505
IEEE Geoscience and Remote Sensing Letters,4.1,"96.0%
6/162
Geotechnical Engineering and Engineering Geology",4070,992,74,2.214,1.325,IEEE,1545598X
International Journal of Biometeorology,4.1,"81.0%
54/282
Ecology",1370,338,76,1.376,0.727,Springer Nature,207128
Journal of Analytical Toxicology,4.1,"92.0%
1/7
Chemical Health and Safety",1501,368,69,1.109,1.17,"Perston Publications, Inc.",1464760
Journal of Environmental Radioactivity,4.1,"82.0%
14/76
Waste Management and Disposal",2857,701,72,2.05,1.613,Elsevier,0265931X
Journal of experimental psychology. Animal learning and cognition,4.1,"67.0%
1057/3233
General Medicine",709,171,77,1.198,1.748,APA,23298456
"Journal of Guidance, Control, and Dynamics",4.1,"92.0%
8/105
Aerospace Engineering",3023,734,72,2.407,1.179,American Institute of Aeronautics and Astronautics,7315090
Journal of Zoological Systematics and Evolutionary Research,4.1,"92.0%
25/336
Animal Science and Zoology",641,158,78,0.977,0.923,Wiley-Blackwell,9475745
Marine Environmental Research,4.1,"82.0%
34/188
Aquatic Science",1747,425,73,1.109,0.974,Elsevier,1411136
Ore Geology Reviews,4.1,"86.0%
4/25
Economic Geology",1051,255,71,1.656,1.444,Elsevier,1691368
Parasitology Research,4.1,"94.0%
8/144
General Veterinary",7813,1929,76,1.163,1.092,Springer Nature,9320113
Pesticide Biochemistry and Physiology,4.1,"88.0%
33/291
Agronomy and Crop Science",1871,460,74,1.358,0.757,Elsevier,483575
Plant Physiology and Biochemistry,4.1,"83.0%
62/362
Plant Science",3660,883,68,1.344,1.078,Elsevier,9819428
Plant Reproduction,4.1,"82.0%
63/362
Plant Science",472,114,81,0.831,1.228,Springer Nature,21947953
Seismological Research Letters,4.1,"81.0%
18/94
Geophysics",1325,327,68,1.493,1.552,Seismological Society of America,8950695
World Mycotoxin Journal,4.1,"86.0%
32/238
Food Science",634,156,76,0.877,0.723,Wageningen Academic Publishers,18750710
American Mineralogist,4,"80.0%
19/94
Geophysics",3529,883,74,1.388,1.62,Walter de Gruyter,0003004X
Annals of Applied Biology,4,"88.0%
34/291
Agronomy and Crop Science",1115,276,72,1.205,0.785,Wiley-Blackwell,34746
Annals of the Missouri Botanical Garden,4,"82.0%
65/362
Plant Science",278,69,62,1.117,0.765,Missouri Botanical Garden,266493
Archives of Environmental Contamination and Toxicology,4,"76.0%
24/101
Pollution",2376,591,76,1.031,0.986,Springer Nature,904341
Auk,4,"92.0%
26/336
Animal Science and Zoology",1127,279,71,1.409,1.368,American Ornithologists' Union,48038
Boundary-Layer Meteorology,4,"75.0%
24/96
Atmospheric Science",1616,405,74,1.588,1.72,Springer Nature,68314
Domestic Animal Endocrinology,4,"98.0%
1/28
Food Animals",875,217,77,1.104,0.898,Elsevier,7397240
Ecological Entomology,4,"88.0%
14/120
Insect Science",1319,330,80,1.062,1.253,Wiley-Blackwell,3076946
Ecotoxicology and Environmental Safety,4,"84.0%
68/438
Public Health, Environmental and Occupational Health",5214,1310,72,1.316,1.13,Elsevier,1476513
Geological Magazine,4,"84.0%
32/200
Geology",1076,269,76,1.107,1.191,Cambridge University Press,167568
GPS Solutions,4,"92.0%
13/167
General Earth and Planetary Sciences",638,161,81,2.833,1.502,Springer Nature,10805370
Hydrobiologia,4,"80.0%
37/188
Aquatic Science",6079,1537,81,1.141,0.953,Springer Nature,188158
Ibis,4,"84.0%
17/106
Nature and Landscape Conservation",1281,322,76,1.236,1.119,Wiley-Blackwell,191019
ILAR Journal,4,"91.0%
29/336
Animal Science and Zoology",660,167,68,0.748,0.632,Oxford University Press,10842020
International Geology Review,4,"85.0%
30/200
Geology",1320,327,67,1.132,1.357,Taylor & Francis,206814
International Journal of Systematic and Evolutionary Microbiology,4,"75.0%
124/504
Ecology, Evolution, Behavior and Systematics",9117,2300,74,1.572,0.996,Microbiology Society,14665026
Invertebrate Survival Journal,4,"91.0%
30/336
Animal Science and Zoology",158,40,93,0.647,0.61,University of Modena and Reggio Emilia,
Journal of Carcinogenesis,4,"70.0%
30/100
Health, Toxicology and Mutagenesis",360,89,73,0.799,1.154,Wolters Kluwer Health,9746773
Journal of Experimental Marine Biology and Ecology,4,"81.0%
36/188
Aquatic Science",4450,1124,71,1.082,1.299,Elsevier,220981
Journal of Molecular Evolution,4,"76.0%
121/504
Ecology, Evolution, Behavior and Systematics",1080,269,79,0.559,1.088,Springer Nature,222844
Journal of the American Water Resources Association,4,"87.0%
23/182
Water Science and Technology",1544,383,70,1.273,1.084,Wiley-Blackwell,1093474X
Land Degradation and Development,4,"93.0%
12/181
Development",869,217,85,1.17,0.837,Wiley-Blackwell,10853278
New Zealand Journal of Ecology,4,"79.0%
58/282
Ecology",643,161,75,1.054,1.125,"New Zealand Ecological Society, Inc.",1106465
Ocean Science,4,"88.0%
10/86
Paleontology",1007,252,74,1.056,1.551,Copernicus,18120784
Physics of the Dark Universe,4,"67.0%
25/76
Space and Planetary Science",137,34,62,2.234,5.756,Elsevier,22126864
Preventive Veterinary Medicine,4,"94.0%
2/28
Food Animals",2861,719,72,1.525,1.264,Elsevier,1675877
SPE Reservoir Evaluation and Engineering,4,"88.0%
19/168
Energy Engineering and Power Technology",902,224,71,1.31,0.638,SPE,10946470
Sustainability Science,4,"95.0%
38/902
Sociology and Political Science",463,115,69,1.513,1.035,Springer Nature,18624065
Toxins,4,"68.0%
32/100
Health, Toxicology and Mutagenesis",2031,506,69,1.189,1.053,Multidisciplinary Digital Publishing Institute (MDPI),20726651
Tree Genetics and Genomes,4,"92.0%
10/131
Forestry",1627,407,76,1.374,0.952,Springer Nature,16142942
Vadose Zone Journal,4,"83.0%
17/101
Soil Science",1997,505,84,1.214,1.123,Soil Science Society of America,15391663
Applied Vegetation Science,3.9,"86.0%
31/221
Management, Monitoring, Policy and Law",839,213,80,1.194,1.1,Wiley-Blackwell,14022001
Aquatic Conservation: Marine and Freshwater Ecosystems,3.9,"82.0%
19/106
Nature and Landscape Conservation",1146,294,76,1.021,1.139,Wiley-Blackwell,10527613
Atmospheric Science Letters,3.9,"74.0%
25/96
Atmospheric Science",793,201,69,0.924,1.593,Wiley-Blackwell,1530261X
Bulletin of the Seismological Society of America,3.9,"79.0%
20/94
Geophysics",3437,887,74,1.565,1.796,Seismological Society of America,371106
Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology,3.9,"54.0%
75/163
Physiology",1758,446,77,0.985,0.727,Elsevier,10964959
EcoHealth,3.9,"78.0%
62/282
Ecology",701,181,70,1.043,0.938,Springer Nature,16129202
Flavour and Fragrance Journal,3.9,"85.0%
34/238
Food Science",795,206,69,1.303,0.811,Wiley-Blackwell,8825734
"Food Additives and Contaminants - Part A Chemistry, Analysis, Control, Exposure and Risk Assessment",3.9,"85.0%
34/238
Food Science",2956,766,69,1.145,1.041,Taylor & Francis,19440049
Food Reviews International,3.9,"86.0%
33/238
Food Science",291,75,71,1.353,1.063,Taylor & Francis,87559129
Genetica,3.9,"90.0%
31/336
Animal Science and Zoology",1310,338,75,0.776,0.957,Springer Nature,166707
Geo-Marine Letters,3.9,"95.0%
8/162
Geotechnical Engineering and Engineering Geology",694,176,85,0.99,0.9,Springer Nature,2760460
Geological Journal,3.9,"83.0%
33/200
Geology",617,157,87,0.868,0.923,Wiley-Blackwell,721050
Journal of Applied Meteorology and Climatology,3.9,"73.0%
26/96
Atmospheric Science",2644,679,72,1.5,1.942,American Meteorological Society,15588424
Journal of Asian Earth Sciences,3.9,"83.0%
34/200
Geology",4062,1043,69,1.637,1.49,Elsevier,13679120
Journal of Pest Science,3.9,"88.0%
35/291
Agronomy and Crop Science",949,244,73,1.449,0.996,Springer Nature,16124758
Lithosphere,3.9,"82.0%
35/200
Geology",580,150,69,1.043,1.892,Geological Society of America,19418264
Marine Micropaleontology,3.9,"87.0%
11/86
Paleontology",720,184,74,1.226,1.487,Elsevier,3778398
Mitigation and Adaptation Strategies for Global Change,3.9,"78.0%
60/282
Ecology",914,233,72,1.281,0.98,Springer Nature,13812386
Quaternary International,3.9,"82.0%
23/125
Earth-Surface Processes",6555,1668,79,1.229,1.101,Elsevier,10406182
Reviews in Fisheries Science and Aquaculture,3.9,"85.0%
32/221
Management, Monitoring, Policy and Law",289,74,88,1.565,1.391,Taylor & Francis,23308249
SPE Journal,3.9,"94.0%
9/162
Geotechnical Engineering and Engineering Geology",1371,355,72,1.707,0.781,SPE,1086055X
Vegetation History and Archaeobotany,3.9,"96.0%
7/191
Archeology (arts and humanities)",564,145,79,1.186,1.205,Springer Nature,9396314
Acta Astronomica,3.8,"63.0%
28/76
Space and Planetary Science",360,95,64,1.043,1.539,Copernicus,15237
American Journal of Primatology,3.8,"89.0%
36/336
Animal Science and Zoology",1681,445,81,0.891,0.918,Wiley-Blackwell,2752565
Aquaculture Environment Interactions,3.8,"87.0%
24/182
Water Science and Technology",292,76,63,1.468,1.24,Inter-Research Science Publishing,1869215X
Biological Control,3.8,"87.0%
37/291
Agronomy and Crop Science",2514,667,72,1.45,0.978,Elsevier,10499644
Canadian Journal of Fisheries and Aquatic Sciences,3.8,"78.0%
41/188
Aquatic Science",2521,666,71,1.08,1.439,NRC Research Press,0706652X
Celestial Mechanics and Dynamical Astronomy,3.8,"65.0%
27/76
Space and Planetary Science",1026,268,74,1.828,1.232,Springer Nature,9232958
Environmental and Resource Economics,3.8,"89.0%
12/105
Aerospace Engineering",1284,342,71,1.587,1.682,Springer Nature,9246460
Environmental Sciences: Processes and Impacts,3.8,"84.0%
35/221
Management, Monitoring, Policy and Law",4418,1175,74,0.946,0.996,Royal Society of Chemistry,20507887
European Journal of Forest Research,3.8,"91.0%
12/131
Forestry",1635,427,78,1.159,0.947,Springer Nature,16124669
European Journal of Lipid Science and Technology,3.8,"90.0%
28/288
Industrial and Manufacturing Engineering",2487,653,69,1.098,0.863,Wiley-Blackwell,14387697
European Urban and Regional Studies,3.8,"96.0%
4/113
Urban Studies",419,111,86,1.601,1.01,SAGE,9697764
Geophysics,3.8,"76.0%
22/94
Geophysics",4398,1163,70,2.083,2.015,Society of Exploration Geophysicists,168033
Journal of Avian Biology,3.8,"89.0%
35/336
Animal Science and Zoology",1082,286,75,1.104,1.227,Wiley-Blackwell,9088857
"Journal of comparative psychology (Washington, D.C. : 1983)",3.8,"92.0%
3/34
Psychology (miscellaneous)",699,185,81,1.009,1.105,APA,#N/A
Journal of Ethnobiology and Ethnomedicine,3.8,"99.0%
4/636
Cultural Studies",784,209,65,1.533,0.707,Springer Nature,17464269
Journal of European Social Policy,3.8,"94.0%
11/181
General Social Sciences",481,125,69,2.51,1.943,SAGE,9589287
Journal of Food Science,3.8,"84.0%
38/238
Food Science",6834,1795,73,1.077,1.019,Wiley-Blackwell,221147
Journal of Functional Foods,3.8,"85.0%
36/238
Food Science",1565,407,68,2.122,1.517,Elsevier,17564646
Journal of Mammalogy,3.8,"90.0%
32/336
Animal Science and Zoology",2090,546,70,1.235,1.217,Oxford University Press,222372
Journal of Medical Toxicology,3.8,"64.0%
36/100
Health, Toxicology and Mutagenesis",999,264,66,1.237,0.798,Springer Nature,15569039
Journal of Personality Assessment,3.8,"81.0%
44/241
Clinical Psychology",974,259,71,1.316,1.319,Taylor & Francis,223891
Meteoritics and Planetary Science,3.8,"78.0%
21/94
Geophysics",1998,521,75,1.008,1.471,Wiley-Blackwell,10869379
Mineralium Deposita,3.8,"76.0%
22/94
Geophysics",745,197,78,1.257,1.491,Springer Nature,264598
Mycologia,3.8,"80.0%
70/362
Plant Science",1974,522,73,1.281,1.133,Taylor & Francis,275514
Plant Methods,3.8,"81.0%
69/362
Plant Science",639,168,72,1.013,1.537,Springer Nature,17464811
Polar Research,3.8,"84.0%
28/183
General Environmental Science",426,111,76,0.68,0.869,Norwegian Polar Institute ,8000395
Proceedings of the Geologists Association,3.8,"85.0%
13/86
Paleontology",783,205,98,0.854,0.521,Geologists' Association,167878
Publication of the Astronomical Society of Japan,3.8,"62.0%
29/76
Space and Planetary Science",2279,606,63,0.621,1.212,Oxford University Press,46264
Radiation and Environmental Biophysics,3.8,"84.0%
29/183
General Environmental Science",816,216,73,1.019,0.727,Springer Nature,0301634X
"Reproduction, Fertility and Development",3.8,"90.0%
34/336
Animal Science and Zoology",1583,416,80,0.948,0.917,CSIRO,10313613
Sedimentary Geology,3.8,"84.0%
6/36
Stratigraphy",2158,573,78,1.157,1.198,Elsevier,370738
Structure and Infrastructure Engineering,3.8,"94.0%
10/162
Geotechnical Engineering and Engineering Geology",1102,293,89,1.38,0.862,Taylor & Francis,15732479
Weather and Forecasting,3.8,"72.0%
27/96
Atmospheric Science",1394,367,75,1.285,2.364,American Meteorological Society,8828156
Weed Research,3.8,"87.0%
36/291
Agronomy and Crop Science",940,249,75,1.406,1.274,Wiley-Blackwell,431737
Aquaculture Nutrition,3.7,"77.0%
43/188
Aquatic Science",1473,401,73,1.188,1.232,Wiley-Blackwell,13535773
Biomarkers,3.7,"63.0%
37/100
Health, Toxicology and Mutagenesis",1377,372,68,0.83,0.86,Taylor & Francis,1354750X
Bulletin of Entomological Research,3.7,"86.0%
39/291
Agronomy and Crop Science",1123,305,76,1.013,0.821,Cambridge University Press,74853
Die Naturwissenschaften,3.7,"72.0%
138/504
Ecology, Evolution, Behavior and Systematics",1792,490,74,0.96,0.937,Springer Nature,281042
Diversity,3.7,"86.0%
6/40
Agricultural and Biological Sciences (miscellaneous)",603,164,61,1.077,0.842,Multidisciplinary Digital Publishing Institute (MDPI),14242818
Dynamics of Atmospheres and Oceans,3.7,"79.0%
41/200
Geology",365,99,74,1.047,1.334,Elsevier,3770265
Ecological Informatics,3.7,"86.0%
54/399
Applied Mathematics",890,240,68,1.399,0.836,Elsevier,15749541
Engineering in Life Sciences,3.7,"79.0%
20/97
Environmental Engineering",1005,272,83,0.888,0.798,Wiley-Blackwell,16180240
Experimental Astronomy,3.7,"61.0%
30/76
Space and Planetary Science",615,168,70,1.574,1.159,Springer Nature,9226435
Geosphere,3.7,"81.0%
7/36
Stratigraphy",1137,309,75,1.147,1.721,Geological Society of America,1553040X
Industrial Crops and Products,3.7,"87.0%
38/291
Agronomy and Crop Science",6073,1630,69,2.029,0.971,Elsevier,9266690
International Journal of Agricultural Sustainability,3.7,"86.0%
67/510
Economics and Econometrics",432,118,69,1.154,1.007,Taylor & Francis,14735903
International Journal of Environmental Science and Technology,3.7,"85.0%
24/157
General Agricultural and Biological Sciences",1391,376,60,1.861,0.754,Springer Nature,17351472
Journal of Applied Phycology,3.7,"80.0%
72/362
Plant Science",2245,602,72,1.353,0.882,Springer Nature,9218971
Journal of Arid Environments,3.7,"79.0%
26/125
Earth-Surface Processes",2920,794,73,1.412,1.018,Elsevier,1401963
Journal of Toxicology and Environmental Health - Part A: Current Issues,3.7,"62.0%
1200/3233
General Medicine",1913,519,72,0.737,0.718,Taylor & Francis,15287394
Microbes and Environments,3.7,"81.0%
19/101
Soil Science",912,248,75,0.872,1.03,Japanese Society Of Microbial Ecology,13426311
Newsletters on Stratigraphy,3.7,"79.0%
8/36
Stratigraphy",143,39,62,1.957,1.247,Gebruder Borntraeger Verlagsbuchhandlung,780421
Ocean Dynamics,3.7,"74.0%
28/109
Oceanography",1513,410,79,1.258,1.302,Springer Nature,16167341
Petroleum Exploration and Development,3.7,"93.0%
11/162
Geotechnical Engineering and Engineering Geology",1240,331,49,2.262,1.817,Elsevier,18763804
Photogrammetric Engineering and Remote Sensing,3.7,"70.0%
7/22
Computers in Earth Sciences",1284,351,64,1.754,1.324,American Society for Photogrammetry and Remote Sensing,991112
Planetary and Space Science,3.7,"59.0%
31/76
Space and Planetary Science",2978,814,74,0.801,0.865,Elsevier,320633
Polar Biology,3.7,"85.0%
23/157
General Agricultural and Biological Sciences",2507,673,74,1.041,1.116,Springer Nature,7224060
Policy Studies Journal,3.7,"96.0%
4/101
Public Administration",519,140,71,1.672,1.419,Wiley-Blackwell,0190292X
Process Safety and Environmental Protection,3.7,"88.0%
14/122
Safety, Risk, Reliability and Quality",799,214,75,1.787,0.909,Institution of Chemical Engineers,9575820
Remote Sensing,3.7,"91.0%
14/167
General Earth and Planetary Sciences",2872,781,70,1.937,1.127,Multidisciplinary Digital Publishing Institute (MDPI),20724292
Review of Palaeobotany and Palynology,3.7,"83.0%
15/86
Paleontology",1446,394,78,1.13,0.971,Elsevier,346667
Revue de Micropaleontologie,3.7,"84.0%
14/86
Paleontology",181,49,78,1.534,1.094,Elsevier,351598
Soil Research,3.7,"88.0%
7/56
Environmental Science (miscellaneous)",1079,290,61,1.247,1.031,CSIRO,1838675X
Soil Science Society of America Journal,3.7,"80.0%
20/101
Soil Science",3280,897,71,1.233,1.268,Soil Science Society of America,3615995
Stochastic Environmental Research and Risk Assessment,3.7,"88.0%
15/122
Safety, Risk, Reliability and Quality",1505,412,70,1.601,1.151,Springer Nature,14363240
Theoretical Ecology,3.7,"77.0%
64/282
Ecology",528,141,80,0.939,1.472,Springer Nature,18741738
Veterinary Journal,3.7,"92.0%
11/144
General Veterinary",4958,1335,73,1.34,1.064,Elsevier,10900233
Zebrafish,3.7,"88.0%
38/336
Animal Science and Zoology",575,156,63,0.7,0.957,Mary Ann Liebert,15458547
Aeolian Research,3.6,"77.0%
46/200
Geology",513,143,65,1.532,1.165,Elsevier,18759637
Alpine Botany,3.6,"78.0%
77/362
Plant Science",178,50,74,0.816,0.96,Springer Nature,16642201
American Journal of Enology and Viticulture,3.6,"88.0%
8/64
Horticulture",881,245,74,1.596,1.259,American Society for Enology and Viticulture,29254
Annals of Glaciology,3.6,"78.0%
27/125
Earth-Surface Processes",1120,309,69,0.942,1.635,Cambridge University Press,2603055
Aquatic Geochemistry,3.6,"75.0%
24/94
Geophysics",463,130,82,0.836,0.969,Springer Nature,13806165
Archaea,3.6,"72.0%
140/504
Ecology, Evolution, Behavior and Systematics",334,92,66,0.772,1.22,Hindawi,14723646
Biofuels,3.6,"80.0%
15/76
Waste Management and Disposal",1044,288,65,0.741,0.822,Taylor & Francis,17597269
Catena,3.6,"78.0%
28/125
Earth-Surface Processes",1904,528,73,1.709,1.083,Elsevier,3418162
Computational Geosciences,3.6,"87.0%
14/110
Computational Mathematics",827,231,70,1.368,0.933,Springer Nature,14200597
Continental Shelf Research,3.6,"78.0%
44/200
Geology",2920,804,74,1.436,1.166,Elsevier,2784343
Cryobiology,3.6,"84.0%
25/157
General Agricultural and Biological Sciences",1389,381,68,1.206,0.697,Elsevier,112240
Emu,3.6,"88.0%
39/336
Animal Science and Zoology",640,177,70,0.998,0.872,CSIRO,1584197
Environment and Behavior,3.6,"82.0%
32/183
General Environmental Science",570,158,78,1.66,0.749,SAGE,139165
Environmental Chemistry Letters,3.6,"58.0%
39/92
Environmental Chemistry",838,234,71,1.071,0.738,Springer Nature,16103653
Environmental Geochemistry and Health,3.6,"85.0%
27/182
Water Science and Technology",956,268,68,1.324,0.994,Springer Nature,2694042
Evolutionary Biology,3.6,"71.0%
145/504
Ecology, Evolution, Behavior and Systematics",568,158,75,0.99,1.391,Springer Nature,713260
Geochemical Transactions,3.6,"67.0%
34/103
Geochemistry and Petrology",90,25,72,0.952,1.032,Springer Nature,14674866
International Journal of Environmental Research,3.6,"83.0%
31/183
General Environmental Science",1537,425,79,1.068,0.576,Springer Nature,17356865
International Journal of Primatology,3.6,"87.0%
41/336
Animal Science and Zoology",1092,306,73,0.959,1.072,Springer Nature,1640291
Journal of Cereal Science,3.6,"83.0%
39/238
Food Science",2050,570,74,1.434,1.016,Elsevier,7335210
Journal of Fish Biology,3.6,"75.0%
46/188
Aquatic Science",4068,1144,72,1.122,1.058,Wiley-Blackwell,221112
Journal of Mathematical Biology,3.6,"85.0%
59/399
Applied Mathematics",1349,377,76,1.462,1.099,Springer Nature,3036812
Journal of Soils and Sediments,3.6,"77.0%
29/125
Earth-Surface Processes",2089,581,75,1.197,0.972,Springer Nature,14390108
Journal of Spatial Information Science,3.6,"92.0%
40/561
Geography, Planning and Development",68,19,95,2.558,1.096,The National Center for Geographic Information and Analysis (NCGIA),
Journal of Wildlife Management,3.6,"78.0%
23/106
Nature and Landscape Conservation",2769,775,75,1.313,1.369,Wiley-Blackwell,0022541X
Journal of Zoology,3.6,"87.0%
42/336
Animal Science and Zoology",1463,410,73,1.048,1.076,Wiley-Blackwell,9528369
Palaios,3.6,"81.0%
16/86
Paleontology",1023,284,75,1,1.047,Society of Economic Paleontologists and Mineralogists,8831351
Pedobiologia,3.6,"79.0%
21/101
Soil Science",670,185,71,1.079,0.947,Elsevier,314056
Plant Biosystems,3.6,"79.0%
76/362
Plant Science",1853,519,74,1.379,0.572,Taylor & Francis,11263504
